Platform,Content Type,Link,Views,Engagements
X,Static,https://x.com/CurseForge/status/1912536465713561833,10083049,652769
X,Static,https://x.com/CurseForge/status/1903514594699612358,1767819,218229
X,Video,https://x.com/CurseForge/status/1889700936278229048,1271322,123182
X,Video,https://x.com/CurseForge/status/1905318907965030845,3274353,204071
X,Static,https://x.com/CurseForge/status/1909637369302851658,1213145,111537
X,Static,https://x.com/CurseForge/status/1903508359845736881,866972,83833
X,Video,https://x.com/CurseForge/status/1919784223533093232,1069164,120091
X,Static,https://x.com/CurseForge/status/1908905034001088701,560467,71554
X,Video,https://x.com/CurseForge/status/1937903621124899032,1660091,175440
X,Video,https://x.com/CurseForge/status/1939353168476807260,932557,157956
Instagram,Video,https://www.instagram.com/reel/DRrfePXCcFF/,7909000,1259000
Instagram,Video,https://www.instagram.com/reel/DN3r-2hXHhs/,3452000,216000
Instagram,Video,https://www.instagram.com/reel/DLdCBEvv5Nc/,3330000,315000
Instagram,Video,https://www.instagram.com/reel/DLiHkOzqF-y/,2952000,265000
Instagram,Video,https://www.instagram.com/reel/DFNKv6LS0rx/,2673000,274000
Instagram,Static,https://www.instagram.com/p/DEj-n42u1zM/,2552394,454000
Instagram,Video,https://www.instagram.com/reel/DJroMWUI2I3/,1000000,148600
Instagram,Video,https://www.instagram.com/reel/DSAI9TjgQMH,2229000,124911
Instagram,Video,https://www.instagram.com/reel/DMqQsLzR62M/,3559000,165000
Instagram,Video,https://www.instagram.com/reel/DaS9ASHjmib/,620000,76000
TikTok,Video,https://www.tiktok.com/@curseforge/video/7578484197304651039,12400000,2125000
TikTok,Video,https://www.tiktok.com/@curseforge/video/7520148287752555806,2900000,441000
TikTok,Carousel,https://www.tiktok.com/@curseforge/video/7551391994715720990 ,2500000,376000
TikTok,Video,https://www.tiktok.com/@curseforge/video/7581459761154067743,4100000,268000
TikTok,Video,https://www.tiktok.com/@curseforge/video/7542853619561843998,1600000,165000
TikTok,Video,https://www.tiktok.com/@curseforge/video/7451184815090568479,1700000,196300
TikTok,Carousel,https://www.tiktok.com/@curseforge/video/7559185216439340319,1000000,103000
TikTok,Video,https://www.tiktok.com/@curseforge/video/7594396966897847583,1500000,243100
TikTok,Video,https://www.tiktok.com/@curseforge/video/7657927391062379806,442000,42000
TikTok,Video,https://www.tiktok.com/@curseforge/video/7605957788208090398,690800,51141
Instagram,Video,https://www.instagram.com/reel/DF-Ttm6v6Zk/,2900000,588000
Instagram,Video,https://www.instagram.com/reel/DMdUPK1R3fP/,1741000,263157
Instagram,Video,https://www.instagram.com/reel/DReqpc_lBCO/,1594541,216000
Instagram,Video,https://www.instagram.com/reel/DFFeHNPOzaN/,1400000,218000
TikTok,Video,https://www.tiktok.com/@curseforge/video/7661994298925239582,395000,48442